Unique Title,Title,Job Location,Company Name,Job Type,Salary
SoftDev,C++ Software Engineer,"Chicago, IL","SG Cap Trading, LLC.",Full-time,Estimated: $81.9K - $104K a year
SoftDev,Database Developer,"Chicago, IL",Medical Home Network,Full-time,"$87,000 - $115,000 a year"
SoftDev,Staff Software Engineer - Platform Enginering,"Oak Brook, IL",The Chamberlain Group LLC,Full-time,"$97,700 - $184,175 a year"
SoftDev,DevOps Lead,"Chicago, IL",Infosys,unknown,Estimated: $81.2K - $103K a year
SoftDev,SAP Programmer,"Melrose Park, IL",Harry and David,Full-time,"From $100,000 a year"
SoftDev,Principal Cloud Engineer,Illinois,BMO US,Part-time,"$110,000 - $204,100 a year"
SoftDev,2025009 Staff Software Engineer,"Chicago, IL",John Deere,unknown,"$148,949 - $158,949 a year"
SoftDev,C++ and C# Software Developer,"Hines, IL",Leidos,Full-time,"$85,150 - $153,925 a year"
SoftDev,Staff Software Engineer - Big Data (T25),"Chicago, IL",Braintree,Full-time,"$84,500 - $204,600 a year"
SoftDev,Software Development Engineer,"Chicago, IL",Lenovo,Full-time,Estimated: $129K - $163K a year
SoftDev,UI Developer,"Oakbrook Ter, IL",Steneral Consulting,unknown,$55 - $60 an hour
SoftDev,Software Engineer,"Chicago, IL",WALGREENS,unknown,"$98,600 - $157,500 a year"
SoftDev,Imaging Software Engineer,"Chicago, IL",Lenovo,Full-time,"$100,000 - $150,000 a year"
SoftDev,Software Engineer in Test (Desktop),"Chicago, IL",NinjaTrader,unknown,"$100,000 - $125,000 a year"
SoftDev,Lead Software Engineer,"Chicago, IL","WithMe, Inc.",Full-time,"$200,000 - $220,000 a year"
SoftDev,Staff Software Engineer - Web SDK,"Chicago, IL",PayPal,Full-time,"$84,500 - $204,600 a year"
SoftDev,RPA Application Developer (UiPath) - Chicago/ Texas,"Chicago, IL",RV Soft,Contract,$55 - $58 an hour
SoftDev,"Staff Software Engineer (Trading Platform, Scala)","Chicago, IL",NinjaTrader,unknown,"$175,000 - $205,000 a year"
SoftDev,Software Engineer,"Chicago, IL",DRW,unknown,"$150,000 - $225,000 a year"
SoftDev,iOS Mobile App Developer,"Chicago, IL",RITAM SOFT LLC,Contract,$60 an hour
SoftDev,Remote Automation Solutions Engineer (Territory Supporting Central US),"Chicago, IL",Flow Control Group,Full-time,"$100,000 - $110,000 a year"
SoftDev,Lead Cloud Engineer (RapidScale),United States,Cox Communications,Full-time,"$119,600 - $199,400 a year"
SoftDev,Software Engineer II,"Chicago, IL",CME Group,Full-time,"$84,800 - $141,300 a year"
SoftDev,Software Developer - HighJump/Korber,"Chicago, IL",Costco Wholesale,unknown,"$125,000 - $160,000 a year"
SoftDev,"Software Engineer II, Edge Workflows","Chicago, IL",Tempus,unknown,"$85,000 - $130,000 a year"
SoftDev,"Senior Software Engineer I (Web, Frontend)","Chicago, IL",NinjaTrader,unknown,"$135,000 - $165,000 a year"
SoftDev,Software Engineer,"Chicago, IL",FleetPulse,Full-time,"$100,000 - $130,000 a year"
SoftDev,Software Engineer,"Chicago, IL",Kernel Trading Technologies LP,Full-time,"$100,181.06 - $264,897.98 a year"
SoftDev,ADAS Software Engineer,"Chicago, IL",Teoresi Group,Full-time,"$105,341 - $114,017 a year"
