,Title,Location,Salary,Description,ID
0,Software Developer - AI Trainer,"Elgin, IL",$40.00 Per Hour (Employer est.),"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.45
1,AutoCAD Standards Expert / Instructor / AutoLISP programmer,"Carol Stream, IL",$75K - $85K (Employer est.),"Education: Bachelor’s degree in engineering, architecture, computer science, or related field. Skills: Strong teaching and communication skills, expertise in…&hellip;
Skills: AutoCAD, Computer science, Machine learning, Data collection, AI",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.46
2,Automation Controls Engineer,"Burr Ridge, IL",$85K (Employer est.),"The successful candidate will possess a basic understanding of a chemical production processes, process control, proficiency with the process control content of…&hellip;
Skills: LAN, Programmable logic controllers, Project management, Computer networking, Leadership",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.47
3,ReactJS Developer - SC2025 - RJSD,"Rosemont, IL",$62K - $93K (Glassdoor est.),"Developing and maintaining technical documentation, including design documents, user guides, and API specifications, to effectively communicate complex concepts…&hellip;
Skills: Management, Node.js, CSS, React, Web development",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.48
4,Applications Development Manager,"Rolling Meadows, IL",$101K - $139K (Glassdoor est.),"Maintains and supports existing application portfolio, including managing technical debt, driving standardization and reuse, and retiring obsolete applications.&hellip;
Skills: ASP.NET, Oracle, MVC, Management, Software troubleshooting",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.52
5,Distribution Automation Maintenance & Support Engineer,"Bolingbrook, IL",$90K - $120K (Employer est.),"OR Associate’s degree in engineering, electronics, robotics, software, or a related field and 5+ years of experience leading projects in an automated warehouse…&hellip;
Skills: Schematics, Project coordination, Analysis skills, Supervising experience, Programmable logic controllers",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.53
6,Database Developer,"Chicago, IL",$87K - $115K (Employer est.),"Bachelor degree in computer science or related field or 5+ years equivalent experience. Perform development, modification, and implementation of software and…&hellip;
Skills: Jira, Computer science, Azure, Management, Visual Studio",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.54
7,Andrioid/IOS Application Developer,"Bolingbrook, IL",$45K - $50K (Employer est.),"We are seeking a skilled and creative Android and iOS App Developer to design, develop, and maintain mobile applications for both platforms.&hellip;
Skills: Urdu, CI/CD, Computer science, Azure, iOS development",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.55
8,UI Developer - SC2025 - UID,"Rosemont, IL",$63K - $94K (Glassdoor est.),"Seamless integration of front-end and back-end components. . Framework Expertise: Good to have proficiency in popular front-end frameworks and libraries such.&hellip;
Skills: CSS, React, Responsive web design, JavaScript, Angular",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.56
9,Experienced C++ Software Engineer,"Chicago, IL",$140K - $200K (Employer est.),"Effectively communicate technical concepts to diverse audiences, both technical and non-technical. Collaborate closely with our quant team, sharing insights and…&hellip;
Skills: Data structures, C++, C, Communication skills",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.60
