Title,Location,Salary,Description,ID
Database Developer,"Chicago, IL",$87K - $115K (Employer est.),"Bachelor degree in computer science or related field or 5+ years equivalent experience. Perform development, modification, and implementation of software and…&hellip;
Skills: Jira, Computer science, Azure, Management, Visual Studio",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.56
Lead Software Engineer - Payments Tech,"Chicago, IL",$133K - $185K (Employer est.),"Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to…&hellip;
Skills: CI/CD, Software troubleshooting, System design, Application development, Machine learning",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.57
C++ Software Engineer,"Chicago, IL",$91K - $151K (Glassdoor est.),"Bachelor’s degree in a STEM field or equivalent experience. Experience in algorithmic trading software engineering a plus. Job Type:* Full-time, in-office.&hellip;
Skills: Rust, C++, C, Software development, Communication skills",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.58
Lead Software Engineer - Virtual Card,"Chicago, IL",$133K - $185K (Employer est.),"Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to…&hellip;
Skills: Jira, CI/CD, Oracle, JUnit, Software troubleshooting",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.59
Senior Software Engineer,"Chicago, IL",$120K - $145K (Employer est.),"Collaborate with cross-functional teams to conceptualize, design and prototype new features. Proficient understanding of code versioning tools, such as Git.&hellip;
Skills: React, Relational databases, Test automation, Git, Databases",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.60
Lead Software Engineer - Enterprise Technology,"Chicago, IL",$133K - $185K (Employer est.),"Formal training or certification on software engineering concepts and 5+ years applied experience in software engineering and development.&hellip;
Skills: CI/CD, Cloud infrastructure, Software troubleshooting, DevOps, System design",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.61
SAP Programmer,"Melrose Park, IL",$100K (Employer est.),"The position calls for this individual to work closely with cross-functional resources to ensure proper solution design and integrity of SAP modules.&hellip;
Skills: Computer science, Software troubleshooting, XML, Writing skills, ERP systems",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.62
Staff Software Engineer - Platform Enginering,"Oak Brook, IL",$98K - $184K (Employer est.),"Act as a technical authority and key driver in the design, development, and delivery of innovative features, collaborating with product owners, front-end,…&hellip;
Skills: CI/CD, Computer science, Cloud architecture, Software troubleshooting, Kubernetes",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.63
CNC Programmer,"Elk Grove Village, IL",$80K - $90K (Employer est.),"The software applications engineer will design, develop, and support manufacturing software control systems used with Mitsubishi fabrication equipment at…&hellip;
Skills: CNC programming, AutoCAD, CAD, Build automation, Machining",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.64
"Senior Software Engineer, Back End (Golang or Scala, AWS)","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Node.js, Kubernetes, NoSQL",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.65
"Senior Software Engineer, Backend (Java, Authorizations)","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, Node.js, Kubernetes, NoSQL",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.66
"Senior Software Engineer, Full Stack","Chicago, IL",,"Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, CSS, Kubernetes, NoSQL",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.67
AWS Cloud Engineer / Java / Terraform,"Chicago, IL",$65.00 - $75.00 Per Hour (Employer est.),"Design and implement new systems. This industry leader serves 87% of top world brands and is looking for an experienced AWS DevOps Engineer who will be…&hellip;
Skills: DevOps, Java, AWS, Terraform",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.68
Software Engineer,"Chicago, IL",$99K - $158K (Employer est.),"Bachelor’s Degree and at least 2 years of Engineering, Software Engineering or similar field experience OR High School/ GED and at least 4 years of Engineering,…&hellip;
Skills: CI/CD, Cognos, Computer science, Power BI, Cloud infrastructure",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.69
Engineer - Software Test,"Chicago, IL",$94K - $116K (Employer est.),"You will collaborate with developers, surveillance analysts and project managers to design testing strategy, develop test plans and implement automated and…&hellip;
Skills: Jira, Operating systems, Big data, Spark, Test automation",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.73
Senior Machine Learning Engineer,"Chicago, IL",,"Master's or doctoral degree in computer science, electrical engineering, mathematics, or a similar field. You’ll participate in the detailed technical design,…&hellip;
Skills: TensorFlow, CI/CD, Node.js, Spark, Google Cloud Platform",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.77
Software Engineering Manager,"Skokie, IL",$150K - $180K (Employer est.),"Experience contributing to Architecture and design of new and existing software. Net Developers as well as helping with the architecture of the platforms.&hellip;
Skills: Azure, C#, Microsoft SQL Server, .NET, Databases",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.78
HTML Developer - SC2025 - HD,"Rosemont, IL",,"Ensure technical feasibility of UI/UX designs. Use markup languages like HTML to create user-friendly web pages. Develop new user-facing features.&hellip;
Skills: Adobe Photoshop, AJAX, CSS, React, Social media management",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.79
Software Developer,"Chicago, IL",$87K - $105K (Glassdoor est.),"Analyze user needs and develop software solutions. Design, develop, test, and deploy custom and complex Application Integrations by working individually or…&hellip;
Skills: AWS",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.82
Software Engineer,"Chicago, IL",,"Degree in Computer Science or a related field. The ideal candidate will have experience with modern front-end technologies and practices, including Next.js,…&hellip;
Skills: React, DevOps, Content management systems, Project coordination, JavaScript",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.86
"Senior Lead Software Engineer, Front End","Chicago, IL",,"Own the technical design and development of cross-functional, multi-platform application systems. Capital One will consider for employment qualified applicants…&hellip;
Skills: Azure, Management, Node.js, CSS, React",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.89
Senior Software Engineer,"Chicago, IL",$114K - $162K (Glassdoor est.),"Familiarity with modern front-end build pipelines and tools. Experience with application state management concepts and libraries.&hellip;
Skills: CI/CD, Computer science, Management, React, Kubernetes",f.9F2279520A491A926F590B2140E4CD8B.d.36CC38F5C1F7E09B0624922DFF0EA543.e.90
