Title,Location,Salary,Description,ID
Software Developer,"Chicago, IL",$36.01 - $73.61 Per Hour (Employer est.),"Solid understanding in web application environments and development tools, event-driven application development, session state management, web configuration and…&hellip;
Skills: Jira, CI/CD, ASP.NET, MVC, CSS",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.26
Associate .Net Developer - Data Management and Analytics,"Chicago, IL",$105K - $132K (Employer est.),"Bachelor’s degree in computer science, Information Technology or a related field with 2+ years of experience in . Proficiency in C#, TSQL and JavaScript.&hellip;
Skills: CI/CD, ASP.NET, Microsoft Excel, Azure, CSS",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.30
"Software Engineer, AI Applications","Chicago, IL",$110K - $140K (Employer est.),"Research and integrate AI-related tools and techniques (e.g., LLM APIs, prompt engineering) into software solutions.&hellip;
Skills: CI/CD, Computer science, Elasticsearch, Software troubleshooting, React",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.34
"Software Engineer II - UI, React, HTML, Spring Boot, JAVA","Chicago, IL",$100K - $125K (Employer est.),"As an emerging member of a software engineering team, you execute software solutions through the design, development, and technical troubleshooting of multiple…&hellip;
Skills: CI/CD, Node.js, Software troubleshooting, React, System design",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.38
Software Developer in Test,"Chicago, IL",$61K - $147K (Employer est.),"We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account…&hellip;
Skills: Jira, MVC, iOS development, iOS, Test automation",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.42
Software Engineer,"Chicago, IL",$125K - $155K (Employer est.),"Skills Required: This position requires experience with the following: Design, develop and implement software products & solutions across variety of financial…&hellip;
Skills: JBoss, Computer science, Oracle, CSS, JUnit",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.46
Software Developer - AI Trainer,"Chicago, IL",$40.00 Per Hour (Employer est.),"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Go, CSS, React, Writing skills, C#",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.50
"Software Developer II, Full Stack","Chicago, IL",$62.00 Per Hour (Employer est.),"Produce technical design documents and conduct technical walkthroughs. Bachelor’s degree in Computer Science, Information Systems, Engineering, or a related…&hellip;
Skills: SAFe, Oracle, Management, CSS, React",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.51
Software Engineer,"Chicago, IL",$125K - $155K (Employer est.),"Skills Required: This position requires experience with the following: Design, develop and implement software products & solutions across variety of financial…&hellip;
Skills: JBoss, Computer science, Oracle, CSS, JUnit",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.55
UI Developer,"Chicago, IL",,"Qualifications: • Bachelor’s degree in Information Technology, Computer Science or a related field • Complete knowledge of programming languages like CSS, HTML…&hellip;
Skills: Web design, Computer science, Azure, Management, CSS",f.89BBF6C2350DB33FBBBB3B6B6C4456A6.d.21E2DD9E59E63AEB75EED64D99C4A6D7.e.59
